Jugador,Nombre_Completo
Aleix Garrido,
Abel Ruiz,Abel Ruiz Ortega
Alexis Olmedo,
Abraham González,
Ander Astralaga,
Albert Jorquera,
Andres Cuenca,
Alberto Botía,
Arnau Comas,
Arnau Tenas,
Alejandro Balde,
Borja López,
Carles Aleñá,Carles Aleña Castillo
Alvaro Sanz,
Chumi,
Dani Morer,
Daniel Rodriguez,
David Costas,
Andreu Fontàs,Andreu Fontàs Prat
Estanis,
Guillem Jaime,
Guillermo Fernandez,
Iñaki Peña,
Jandro Orellana,
Jokin Ezkieta,
Jordi Masip,Jordi Masip López
Carles Puyol,Carles Puyol i Saforcada
Jorge Cuenca,
Juan Cámara,
Juan Miranda,
Kike Saverio,
Landry Farré,
Lucas De Vega,
Marc Cardona,
Marc Casado,
Marc Guiu,
Monchu,
Denis Suárez,Denis Suárez Fernández
Nili,
Oriol Busquets,
Pau Prim,
Pau Victor,
Eric García,
Sergi Samper,Sergi Samper Montaña
Sergio Akieme,
Fernando Navarro,Fernando Navarro i Corbacho
Toni Fernández,
Unai Hernandez,
Àlex Carbonell,
Álex Collado,Álex Collado Gutiérrez
Álex Valle,
Álvaro Cortés,
Gerard Gumbau,Gerard Gumbau Garriga
Gerard Piqué,Gerard Piqué Bernabéu
Héctor Bellerín,
Héctor Fort,
Iñigo Martínez,
Jesús Olmo,
José Manuel Pinto,José Manuel Pinto Colorado
José Manuel Rueda,José Manuel Rueda Sampedro
Marc Bartra,Marc Bartra Aregall
Marc Bernal,
Marcos Alonso,
Mario,
Martín Montoya,Martín Montoya Torralbo
Mika Mármol,
Oier Olazábal,
Oleguer Presas,Oleguer Presas Renom
Oriol Romeu,
Pablo Torre,
Pau Cubarsí,
Pitu,
Ramón Masó,
Ramón Ros,
Riqui Puig,
Rodri,Sergio Rodríguez García
Rubén,Rubén Iván Martínez Andrade
Santiago Ezquerro,Santiago Ezquerro Marín
Sergi Dominguez,
Thiago Alcántara,Thiago Alcântara do Nascimento
Víctor Valdés,Víctor Valdés Arribas
Ángel Alarcón,
Aleix Vidal,Aleix Vidal Parreu
Andrés Iniesta,Andrés Iniesta Luján
Sandro Ramírez,Sandro Ramírez Castillo
Sergio Busquets,Sergio Busquets i Burgos
Xavi,Xavier Hernández Creus
Óscar López,
Óscar Mingueza,Óscar Mingueza García
Ferran Jutglà,
Gerard López,
Gerard Martín,Ricard Puig Martí
Nicolás González,
Dani Olmo,
Ferrán Torres,
Luis García,
Paco Alcácer,Francisco Alcácer García
Pedri,Pedro González López
Adama Traoré,
Andrea Orlandi,
Ansu Fati,Anssumane Fati
Carles Pérez,Carles Pérez Sayol
Damià Abella,Damià Abella Pérez
Fali,Rafael Romero Serrano
Francisco Martos,
Gabri García,Gabriel Francisco García de la Torre
Gerard Deulofeu,Gerard Deulofeu Lázaro
José Arnaiz,José Manuel Arnáiz Díaz
Lamine Yamal,
Marc Muniesa,Marc Muniesa Martínez
Nolito,Manuel Agudo Durán
Paco Montañés,
Pedro,Pedro Eliezer Rodriguez Ledesma
Sergi Roberto,Sergi Roberto Carnicer
Sergio Santamaría,
Víctor Sánchez,Víctor Sánchez Mata
Víctor Vázquez,Víctor Vázquez Solsona
Xavi Torres,
Jordi Alba,Jordi Alba Ramos
Sergio García,
Cristian Tello,Cristian Tello Herrera
Gavi,
Bojan Krki?,Bojan Krkíc Pérez
Isaac Cuenca,Juan Isaac Cuenca López
Cesc Fàbregas,Francesc Fàbregas i Soler
David Villa,David Villa Sánchez
Fermin López,
Luis Enrique,
Carles Planas,
Marc Crosas,
Martí Riverola,
Abde Ezzalzouli,
Alexandre Song,Alexandre Dimitri Song-Billong
Arda Turan,Arda Turan
Demetrio Albertini,
Edmílson,José Edmílson Gomes de Moraes
Ibrahim Afellay,Ibrahim Afellay
Javier Mascherano,Javier Alejandro Mascherano
Jeffrén Suárez,Jeffren Isaac Suárez Bermúdez
Moussa Wagué,
Munir El Haddadi,
Pierre-Emerick Aubameyang,
Rafael Márquez,Rafael Márquez Álvarez
Adriano,Adriano Correia Claro
Dani Alves,Daniel Alves da Silva
Giovanni van Bronckhorst,Giovanni van Bronckhorst
Juliano Belletti,Juliano Haus Belletti
Sergiño Dest,Sergino Dest
Lionel Messi,Lionel Andrés Messi Cuccittini
Malcom,Malcom Filipe Silva de Oliveira
Marc Overmars,
Martin Braithwaite,Martin Braithwaite Christensen
Ousmane Dembélé,Ousmane Dembélé
Ricardo Quaresma,
Eiður Guðjohnsen,Eiður Smári Guðjohnsen
Alexis Sánchez,Alexis Alejandro Sánchez Sánchez
Giovani dos Santos,Giovani dos Santos Ramírez
Ludovic Giuly,Ludovic Giuly
Luuk de Jong,
Neymar,
Phillip Cocu,
Ronaldinho,Ronaldo de Assis Moreira
Ludovit Reis,
Player,
Andreas Christensen,
Diego Kochen,
André Gomes,André Filipe Tavares Gomes
Douglas,Douglas Pereira dos Santos
Antoine Griezmann,Antoine Griezmann
Chadi Riad,
Konrad De La Fuente,
Claudio Bravo,Claudio Andrés Bravo Muñoz
Lazar Carevi?,
Marc-André ter Stegen,Marc-André ter Stegen
Matheus Fernandes,
Mikayil Ngor Faye,
Miralem Pjani?,Miralem Pjanić
Noah Darvich,
Dmytro Chygrynskiy,Dmytro Chygrynskiy
Rafinha,Rafael Alcântara do Nascimento
Emerson,
Rey Manaj,
Santi Ramos Mingo,
Wilfrid Kaptoum,
Gabriel Milito,Gabriel Alejandro Milito
Áron Yaakobishvili,
Gianluca Zambrotta,Gianluca Zambrotta
Ilias Akhomach,
Jasper Cillessen,Jasper Cillessen
Jean Marie Dongou,Jean Marie Dongou Tsafack
Jean-Clair Todibo,Jean-Clair Todibo
Jeison Murillo,
Jonathan dos Santos,Jonathan dos Santos Ramírez
Kevin-Prince Boateng,Kevin-Prince Boateng
Lilian Thuram,Lilian Thuram
Lucas Digne,Lucas Digne
Ludovic Sylvestre,
Marlon,Marlon Santos da Silva Barbosa
